1.06857,0.209383,0.976733
1.10487,0.501075,2.96076
0.672771,0.0474414,0.284147
0.978615,0.10412,0.691219
1.13389,0.296454,1.99744
0.657522,0.0666627,0.489513
0.985435,0.209893,1.0395
0.714981,0.0770668,0.598698
0.545691,0.0422913,0.446594
0.747488,0.112386,0.663732
0.9225,0.198527,1.70436
0.505492,0.0337981,0.234444
0.800637,0.152724,1.24858
0.650098,0.101583,0.855525
0.662139,0.0964383,0.701475
1.22839,0.423801,2.41479
1.26049,0.3229,1.723
1.13532,0.322509,1.53909
1.15657,0.164046,0.806342
0.833825,0.0579193,0.340486
0.625665,0.072769,0.486819
1.09876,0.173515,1.07182
1.14808,0.244312,1.41038
0.879607,0.246175,1.59826
1.27966,0.212557,1.60673
