D,W,A
0.37963,0.022286,0.175184
0.37963,0.0222884,0.175254
0.37963,0.0223317,0.175346
0.37963,0.0223523,0.175461
0.38017,0.0223955,0.175591
0.380286,0.0223993,0.175641
0.380697,0.0224078,0.175911
0.380939,0.0224277,0.176349
0.38095,0.0224425,0.176958
0.381073,0.0224481,0.177013
0.381234,0.0224521,0.17736
0.381234,0.0224802,0.177603
0.381234,0.0226065,0.177917
0.381234,0.022619,0.178206
0.381378,0.0226234,0.178451
0.381378,0.0226523,0.178549
0.381533,0.0226598,0.178977
0.381533,0.02267,0.178995
0.381845,0.0226752,0.179331
0.381845,0.0226817,0.179472
0.381874,0.0226971,0.179494
0.382642,0.0227101,0.179591
0.382642,0.0227102,0.179725
0.382642,0.0227192,0.179767
0.382642,0.0227436,0.180053
0.382642,0.0227595,0.180071
0.383398,0.0227704,0.180122
0.383464,0.0227816,0.180288
0.384037,0.022782,0.180398
0.384051,0.0227911,0.180492
0.384721,0.0227957,0.180499
0.385494,0.0228105,0.18051
0.386013,0.0229135,0.180867
0.386094,0.0229352,0.180931
0.386094,0.0229428,0.18111
0.386115,0.0229453,0.181501
0.386115,0.0229628,0.181636
0.386115,0.0229743,0.181667
0.386115,0.0230002,0.181729
0.386326,0.0230933,0.181778
0.386326,0.023127,0.1819
0.386326,0.0231537,0.182028
0.386495,0.0231608,0.182088
0.386969,0.0231767,0.182148
0.387418,0.0231832,0.182161
0.387418,0.0231936,0.182838
0.387418,0.0232395,0.182866
0.387499,0.0232804,0.183094
0.387681,0.0233026,0.183098
0.387681,0.023344,0.183146
0.387689,0.0233826,0.183592
0.387917,0.0233849,0.183951
0.387924,0.0233882,0.184051
0.387924,0.0233964,0.184099
0.387945,0.0233964,0.184123
0.388324,0.0234186,0.184484
0.388503,0.023446,0.184517
0.388503,0.0234485,0.18465
0.389472,0.023454,0.184693
0.389613,0.0234554,0.184705
0.389911,0.0234728,0.185182
0.39015,0.0234946,0.185305
0.39015,0.0234989,0.185379
0.39015,0.0235351,0.185532
0.39015,0.0235412,0.185603
0.390582,0.0235595,0.185664
0.390687,0.02357,0.185671
0.391049,0.0235735,0.185928
0.391298,0.0235837,0.186303
0.391558,0.0235983,0.186364
0.391558,0.0236047,0.186645
0.391857,0.0236261,0.186873
0.391857,0.023635,0.186965
0.391888,0.023638,0.187117
0.391888,0.0236699,0.187159
0.391987,0.0236709,0.187173
0.392531,0.0236874,0.18746
0.392538,0.0237199,0.187775
0.392601,0.0237353,0.187893
0.392601,0.0237739,0.187932
0.392924,0.0237744,0.18806
0.392924,0.0237809,0.188534
0.392924,0.0237856,0.188573
0.393009,0.0238282,0.188639
0.393374,0.0238359,0.188672
0.393412,0.0238405,0.188672
0.393851,0.0238538,0.188708
0.394357,0.0238731,0.188849
0.394357,0.0239023,0.188865
0.394385,0.0239061,0.188903
0.394385,0.0239285,0.18912
0.394943,0.023931,0.189134
0.394943,0.0239473,0.189207
0.394943,0.0239733,0.189289
0.39495,0.0239874,0.189352
0.395298,0.0239972,0.189395
0.395298,0.0240512,0.189423
0.395298,0.0240577,0.189495
0.395298,0.0240619,0.189521
0.39553,0.024075,0.189711
0.39553,0.0240876,0.18975
0.39553,0.0241308,0.189763
0.395628,0.0241529,0.189862
0.395632,0.0241602,0.18989
0.395849,0.0241917,0.189893
0.395849,0.024192,0.190008
0.395849,0.0241926,0.190318
0.396222,0.0241939,0.190353
0.39737,0.024231,0.190488
0.39737,0.0242463,0.190794
0.39737,0.0242548,0.190864
0.397574,0.0243153,0.190975
0.397665,0.024326,0.190983
0.397665,0.0243343,0.190992
0.398016,0.0243354,0.19148
0.398125,0.0243365,0.191606
0.398125,0.0243435,0.191674
0.398125,0.0243549,0.191753
0.398132,0.0244168,0.191793
0.398785,0.0244199,0.191897
0.399118,0.0244376,0.192079
0.399357,0.024451,0.192397
0.399357,0.0244573,0.192548
0.399554,0.0244659,0.192829
0.399554,0.0244734,0.192999
0.399554,0.0245107,0.193126
0.399554,0.0245138,0.193142
0.399716,0.0245351,0.193142
0.399716,0.0245376,0.193197
0.399758,0.0245385,0.193527
0.400299,0.0245519,0.193738
0.400299,0.0245585,0.193769
0.400299,0.0245761,0.193817
0.400404,0.0245779,0.193919
0.400404,0.0245783,0.193993
0.400404,0.0245785,0.19412
0.400607,0.0245866,0.194131
0.400607,0.0246277,0.194386
0.400607,0.0246423,0.194521
0.400607,0.024653,0.194596
0.400885,0.0246603,0.194622
0.400885,0.0246614,0.194645
0.400885,0.0246665,0.194732
0.400885,0.0246824,0.194798
0.400885,0.0246947,0.194942
0.400885,0.0247086,0.195061
0.400885,0.0247136,0.195066
0.401113,0.0247197,0.19508
0.40119,0.0247307,0.195107
0.40119,0.0247323,0.195318
0.401619,0.0247665,0.195487
0.402212,0.0248094,0.195561
0.402212,0.0248597,0.195662
0.402212,0.0248928,0.195665
0.4023,0.0249075,0.195729
0.402374,0.0249093,0.195776
0.402374,0.0249102,0.195798
0.402374,0.024912,0.195977
0.402402,0.0249148,0.196069
0.402413,0.0249192,0.196104
0.402413,0.024921,0.19642
0.402686,0.0249237,0.196538
0.402686,0.0249565,0.19656
0.402686,0.0249711,0.196599
0.402939,0.0249863,0.196617
0.403041,0.0250052,0.196637
0.403041,0.0250156,0.196651
0.403041,0.0250234,0.196665
0.403041,0.0250282,0.196681
0.403041,0.0250498,0.196711
0.403041,0.025054,0.196745
0.403357,0.025063,0.196801
0.403357,0.0250862,0.196944
