D,W,A
0.24381,0.00878365,0.104188
0.265243,0.0102117,0.104306
0.267767,0.0121269,0.106189
0.281112,0.012141,0.109477
0.285359,0.0121721,0.110486
0.303581,0.0127859,0.11502
0.303852,0.0128246,0.115307
0.311084,0.0128861,0.118907
0.311386,0.0131465,0.120448
0.314087,0.0131663,0.12215
0.316338,0.0134435,0.122497
0.320129,0.0136629,0.12719
0.321966,0.0139804,0.127937
0.323477,0.0140979,0.130158
0.323798,0.0144172,0.130344
0.325856,0.0144196,0.130407
0.328557,0.0144839,0.130502
0.32955,0.0146077,0.131283
0.330996,0.0148754,0.131722
0.331096,0.0150329,0.131773
0.331488,0.0152692,0.132216
0.332626,0.0152983,0.132566
0.332742,0.015337,0.132802
0.333344,0.0153947,0.132933
0.333506,0.0156947,0.133143
0.335707,0.0157501,0.137286
0.33759,0.0157648,0.137562
0.337874,0.0159219,0.137594
0.338083,0.0159245,0.137916
0.338424,0.0161437,0.13832
0.339184,0.0161878,0.138725
0.339184,0.0162272,0.13905
0.339222,0.0162604,0.139215
0.340477,0.0163403,0.139491
0.340543,0.0163827,0.140016
0.34294,0.0164434,0.140991
0.343117,0.0164563,0.141495
0.343842,0.0168677,0.141601
0.344819,0.0172143,0.1422
0.344819,0.0172244,0.142708
0.345095,0.0173923,0.144301
0.345499,0.0174084,0.144318
0.346881,0.0175134,0.144926
0.347406,0.0175182,0.145541
0.347904,0.0175596,0.145587
0.348353,0.0175626,0.145774
0.3501,0.0175854,0.14578
0.350812,0.0175865,0.146528
0.351021,0.0175979,0.146644
0.351153,0.0175994,0.148182
0.35171,0.0177381,0.148596
0.351713,0.0177473,0.149042
0.353286,0.0177514,0.149749
0.353286,0.0177986,0.150153
0.353374,0.0179537,0.150339
0.353441,0.017987,0.150429
0.353441,0.0180123,0.150924
0.353498,0.0180319,0.151317
0.356784,0.0180324,0.15171
0.356984,0.0180336,0.152078
0.357505,0.0180518,0.152487
0.357799,0.018055,0.152516
0.357899,0.0180885,0.152663
0.357952,0.0181415,0.153772
0.357952,0.0181533,0.154473
0.358249,0.0182022,0.154903
0.358313,0.018273,0.155339
0.358896,0.0182995,0.155388
0.360121,0.018355,0.155509
0.360291,0.018473,0.155546
0.361456,0.0185093,0.156336
0.362899,0.0185271,0.156479
0.363405,0.0185512,0.156535
0.363506,0.0185664,0.156683
0.363648,0.0186922,0.156744
0.363797,0.0187409,0.156888
0.363956,0.0187426,0.157225
0.364284,0.0187641,0.157458
0.364611,0.0188214,0.157477
0.365244,0.018837,0.157885
0.365299,0.0188379,0.157993
0.365299,0.0188621,0.158219
0.365725,0.0188834,0.158397
0.365725,0.0189148,0.158529
0.365948,0.0189818,0.158646
0.365948,0.0190521,0.158778
0.366063,0.0190672,0.158852
0.367592,0.0190972,0.159616
0.367691,0.0190983,0.159783
0.367757,0.0191011,0.160017
0.367757,0.0191763,0.160263
0.368088,0.0192934,0.160351
0.368591,0.0193685,0.160748
0.3688,0.0194206,0.161414
0.369316,0.0194448,0.161638
0.370468,0.019472,0.161683
0.370552,0.019477,0.161906
0.370679,0.0194897,0.162042
0.372006,0.0195356,0.162052
0.372376,0.01954,0.162067
0.372476,0.0195579,0.162441
0.372503,0.0195608,0.162736
0.372503,0.019585,0.162752
0.373102,0.0195851,0.163244
0.373188,0.0196206,0.163257
0.373558,0.0196327,0.163273
0.374304,0.0196426,0.163392
0.374453,0.0196498,0.163514
0.374596,0.0196627,0.163615
0.374702,0.0196929,0.163691
0.374858,0.0197034,0.163804
0.375129,0.0197642,0.1642
0.376448,0.0197836,0.164523
0.376983,0.019798,0.164646
0.377764,0.019848,0.164725
0.37812,0.0198835,0.164726
0.378357,0.0198977,0.164776
0.378487,0.0199114,0.165005
0.378507,0.0199628,0.165105
0.378988,0.0199693,0.165665
0.379205,0.0200213,0.165809
0.379352,0.0200697,0.165843
0.379352,0.0200762,0.165843
0.379412,0.0200827,0.165853
0.379949,0.0201984,0.166249
0.380214,0.0202288,0.166603
0.3804,0.0202429,0.166997
0.380803,0.0202906,0.167005
0.381118,0.0203155,0.167031
0.381134,0.0203336,0.167041
0.381222,0.0203448,0.167607
0.381318,0.0203551,0.167631
0.381381,0.020365,0.167724
0.381944,0.0203689,0.167768
0.381949,0.0203749,0.16777
0.382944,0.0203956,0.168137
0.382954,0.0204178,0.168426
0.38364,0.0204223,0.168462
0.38364,0.0204386,0.168899
0.38364,0.0204419,0.16896
0.383653,0.0204463,0.169031
0.383659,0.0204577,0.16961
0.383773,0.020472,0.169665
0.384368,0.0204942,0.169706
0.384728,0.0205148,0.169967
0.384938,0.0205411,0.170113
0.385229,0.0205738,0.170194
0.385312,0.0205955,0.170242
0.385435,0.0206542,0.170315
0.385689,0.0206815,0.170394
0.385853,0.0207496,0.17041
0.385853,0.0209396,0.17047
0.385853,0.0209629,0.170494
0.385935,0.0209823,0.170501
0.386114,0.0210314,0.170632
0.386114,0.0210324,0.170649
0.386466,0.0210512,0.170656
0.386476,0.0210942,0.170736
0.386663,0.0211119,0.171553
0.386948,0.0211444,0.171564
0.386966,0.021173,0.171665
0.386966,0.0212056,0.172044
0.387,0.0212468,0.172175
0.38708,0.0212767,0.172267
0.387442,0.021281,0.172292
0.387442,0.0212838,0.172307
0.387514,0.0212942,0.172389
0.38775,0.021337,0.173243
0.387779,0.0213926,0.173475
0.388335,0.0214128,0.173599
0.388335,0.0214473,0.173876
0.388335,0.0215162,0.174426
0.388391,0.0215165,0.174535
0.388392,0.0215562,0.174598
0.388429,0.0215585,0.175065
0.388904,0.0215673,0.175224
0.389182,0.0215774,0.175326
0.389291,0.0215881,0.175809
0.389511,0.021599,0.176032
0.389544,0.0216117,0.176083
0.389544,0.0216123,0.176141
0.390197,0.0216287,0.176505
0.390256,0.0216316,0.17665
0.390524,0.0217252,0.176876
0.390566,0.0217424,0.177037
0.392147,0.0217485,0.177142
0.392308,0.0217955,0.177155
0.392324,0.0218066,0.177227
0.392324,0.0218409,0.177365
0.392423,0.0218411,0.177408
0.392469,0.0218433,0.17748
0.392538,0.0219075,0.177543
0.392554,0.0219301,0.17757
0.392729,0.0219387,0.177727
0.393124,0.0219535,0.178059
0.393141,0.0219592,0.178225
0.393178,0.0219631,0.178413
0.393283,0.021972,0.178417
0.393295,0.0219848,0.17846
0.393866,0.0219871,0.178604
0.39401,0.0220215,0.178638
0.39401,0.0220473,0.179316
0.394026,0.0220478,0.179392
0.394064,0.022065,0.179485
0.394096,0.0220676,0.179774
0.394141,0.022075,0.179859
0.394167,0.0221092,0.179872
0.394167,0.0221192,0.18
0.394771,0.022124,0.180072
0.394886,0.0221324,0.180137
0.395,0.022135,0.180155
0.39502,0.0221379,0.18042
0.395551,0.0221764,0.180508
0.395741,0.0221933,0.18063
0.395811,0.022217,0.180842
0.395855,0.0222483,0.180993
0.395855,0.0222572,0.181057
0.396095,0.0222578,0.181759
0.396191,0.0222693,0.181931
0.396191,0.022281,0.182103
0.396191,0.0222864,0.182285
0.396628,0.0222922,0.182337
0.397019,0.0223105,0.18255
0.397112,0.0223175,0.182614
0.397327,0.0223218,0.18264
0.39737,0.0223438,0.182765
0.39737,0.0223702,0.182796
0.397787,0.022383,0.182929
