D,W,A
0.281989,0.00973611,0.0843868
0.289574,0.0106459,0.0858495
0.299717,0.0112122,0.0928077
0.315133,0.0113582,0.104365
0.317289,0.0118861,0.105042
0.318593,0.0121542,0.106845
0.319124,0.0136085,0.109042
0.320472,0.0138566,0.117656
0.320494,0.0139415,0.11794
0.320587,0.0139986,0.123869
0.321983,0.0140976,0.125822
0.322376,0.0144121,0.125826
0.322752,0.0144585,0.126166
0.324275,0.0147381,0.128813
0.326081,0.0151007,0.130365
0.326229,0.0152363,0.130664
0.328017,0.0153986,0.130701
0.32872,0.015453,0.130879
0.329768,0.0156017,0.131384
0.329768,0.0156107,0.13243
0.331001,0.0159091,0.135043
0.332232,0.0159417,0.135138
0.333411,0.0161361,0.135335
0.334271,0.0161405,0.136719
0.334895,0.0161479,0.136982
0.335503,0.0162665,0.137154
0.336515,0.0162679,0.137444
0.336746,0.0163337,0.137865
0.338476,0.0163677,0.138792
0.338537,0.0164359,0.139108
0.339452,0.0164554,0.139303
0.341049,0.0164992,0.14018
0.341522,0.0166753,0.140237
0.341989,0.0167848,0.140638
0.343687,0.0168032,0.140679
0.344367,0.0168549,0.140901
0.344367,0.016951,0.141405
0.345256,0.017061,0.141584
0.345306,0.0170973,0.142529
0.346504,0.0172109,0.14308
0.346764,0.017218,0.143146
0.347476,0.0172647,0.143558
0.348773,0.0172763,0.143614
0.349202,0.0172861,0.144035
0.349658,0.0173573,0.144562
0.350283,0.0173722,0.14458
0.350342,0.0174301,0.144873
0.350798,0.0174684,0.145059
0.351392,0.0174804,0.145228
0.351908,0.0174953,0.145304
0.352443,0.0175656,0.145928
0.352973,0.0175863,0.146324
0.354115,0.0176031,0.146456
0.354897,0.0176372,0.146647
0.355347,0.0177258,0.146803
0.356926,0.0177479,0.147256
0.356992,0.0177972,0.147891
0.357037,0.0178554,0.148285
0.358678,0.0178804,0.148786
0.359634,0.0178938,0.150001
0.359877,0.0180011,0.152532
0.360147,0.0180433,0.152666
0.360214,0.0181471,0.152782
0.36056,0.0181669,0.153034
0.360753,0.0181938,0.153665
0.361712,0.0182282,0.155487
0.362248,0.0182607,0.15566
0.362525,0.0183351,0.156043
0.362538,0.0183488,0.156491
0.36257,0.0183535,0.157096
0.363382,0.0183584,0.157312
0.363405,0.0184513,0.157333
0.364124,0.018529,0.157487
0.364497,0.0185327,0.157972
0.365138,0.0185826,0.158034
0.365216,0.0188113,0.158398
0.365808,0.0188285,0.158619
0.366247,0.0188842,0.158707
0.366525,0.0189289,0.158798
0.367008,0.0189314,0.1595
0.367053,0.0189581,0.159603
0.367459,0.0191382,0.159861
0.367532,0.0191764,0.159877
0.367813,0.0191783,0.160071
0.368593,0.0192061,0.160388
0.368621,0.0192612,0.161228
0.368737,0.0192853,0.161381
0.368879,0.0193388,0.161609
0.369644,0.0193689,0.16213
0.369983,0.0193754,0.162367
0.370172,0.0193783,0.162663
0.370239,0.0193909,0.162834
0.370305,0.0194158,0.163148
0.370587,0.0195135,0.163374
0.371185,0.0195217,0.163571
0.371398,0.0195639,0.16361
0.371723,0.0195861,0.164004
0.371802,0.0196184,0.164074
