D,W,A
0.266831,0.012125,0.100357
0.290926,0.0125541,0.106105
0.30652,0.0128924,0.112459
0.307935,0.013313,0.114054
0.309953,0.0133787,0.115544
0.310106,0.0133993,0.118273
0.31322,0.0152775,0.119781
0.314263,0.0153824,0.127671
0.314801,0.0154886,0.128248
0.315835,0.0156539,0.130241
0.315899,0.0157042,0.130895
0.318803,0.0158278,0.13164
0.321364,0.0159041,0.133481
0.321668,0.0159402,0.134375
0.321948,0.0159525,0.135837
0.327236,0.0159586,0.136928
0.327276,0.0159943,0.137036
0.328258,0.0160459,0.137492
0.32889,0.0161048,0.137825
0.331232,0.0161174,0.139845
0.332199,0.0161479,0.140834
0.332826,0.016153,0.140929
0.333218,0.0162874,0.140997
0.333279,0.0163095,0.141339
0.333586,0.0164011,0.141607
0.337098,0.0164269,0.142278
0.339403,0.016428,0.142479
0.340325,0.0164774,0.142581
0.342673,0.0164842,0.143168
0.342673,0.0164985,0.143808
0.342673,0.0167718,0.143932
0.342673,0.0169922,0.143937
0.343056,0.0170343,0.144126
0.343062,0.0171333,0.144772
0.345632,0.0171803,0.144854
0.34582,0.0172517,0.145618
0.346115,0.0174418,0.145671
0.347037,0.0174734,0.145867
0.34717,0.0174996,0.147352
0.347304,0.0175382,0.147638
0.348089,0.0175395,0.147861
0.348238,0.0176086,0.148691
0.348642,0.017624,0.148847
0.349366,0.0178152,0.149195
0.349366,0.0178505,0.149256
0.349433,0.0178678,0.149295
0.351176,0.0178828,0.149481
0.351176,0.0179231,0.149493
0.351881,0.0179287,0.149917
0.351881,0.0179507,0.150021
0.352012,0.0179923,0.15012
0.352012,0.0180054,0.150324
0.352021,0.0180254,0.150358
0.352021,0.0180769,0.150389
0.352225,0.0181573,0.15078
0.3529,0.0182612,0.150866
0.353073,0.0182893,0.151435
0.353073,0.0182909,0.151503
0.353073,0.0183373,0.15153
0.353307,0.0184124,0.151721
0.353341,0.0185466,0.152115
0.353526,0.0185679,0.152266
0.353651,0.0185735,0.152303
0.353651,0.018586,0.152577
0.3539,0.0186231,0.152712
0.354551,0.0187088,0.153043
0.354551,0.0187959,0.153418
0.354609,0.0188664,0.153692
0.355488,0.0188824,0.153842
0.355889,0.0190119,0.154513
0.355889,0.0190714,0.154592
0.356576,0.0192008,0.154784
0.357678,0.0192278,0.154861
0.357678,0.0192445,0.154953
0.357729,0.019266,0.155167
0.358118,0.0192903,0.155251
0.358118,0.0193555,0.156246
0.358118,0.0193786,0.156268
0.358252,0.0193994,0.156311
0.358873,0.0194036,0.157105
0.359149,0.0194207,0.157135
0.359149,0.0194579,0.157425
0.359739,0.0194632,0.157582
0.359739,0.0195131,0.157708
0.359757,0.019556,0.157732
0.359757,0.0195604,0.157848
0.359876,0.0196257,0.159183
0.360612,0.019672,0.159256
0.361406,0.0197009,0.15943
0.361707,0.0197481,0.159472
0.361707,0.0197488,0.160218
0.361707,0.0197852,0.160241
0.363081,0.0198039,0.160897
0.363081,0.0198239,0.160924
0.363081,0.019885,0.161203
0.363234,0.0199133,0.161258
0.363349,0.0199213,0.161338
0.363653,0.0200597,0.161574
0.363653,0.0201201,0.161789
0.363653,0.0201458,0.162288
0.364207,0.0201919,0.162705
0.36434,0.0202761,0.162961
0.364663,0.0203136,0.163082
0.364781,0.0203355,0.163245
0.364879,0.0203772,0.163357
0.364879,0.0204005,0.163359
0.364879,0.0204438,0.163521
0.365116,0.0204505,0.163718
0.365116,0.0205541,0.164027
0.365162,0.0205596,0.164134
0.365213,0.020562,0.164285
0.365213,0.0205643,0.164356
0.365213,0.0205811,0.164502
0.365213,0.0205966,0.164558
0.365545,0.0206528,0.164903
0.366098,0.0206552,0.164908
0.366098,0.0206644,0.165105
0.366098,0.0206994,0.165177
0.366296,0.02072,0.165338
0.366935,0.0207432,0.16562
0.367333,0.0207914,0.165815
0.367378,0.0208073,0.166307
0.367378,0.0208501,0.166698
0.3676,0.020857,0.166765
0.3676,0.0208758,0.167043
0.368136,0.0208789,0.167157
0.368136,0.0209243,0.167212
0.368692,0.02093,0.167555
0.368692,0.0209478,0.167659
0.368914,0.0209604,0.167667
0.368914,0.0210433,0.167782
0.368914,0.0210638,0.167837
0.369027,0.02107,0.167861
0.369687,0.0210819,0.167994
0.370173,0.0210846,0.168101
0.370961,0.0210999,0.168219
0.370961,0.0211636,0.168263
0.371259,0.0211657,0.168331
0.371378,0.021204,0.168347
0.37139,0.0212254,0.168445
0.372007,0.0212305,0.1685
0.372588,0.0212384,0.168578
0.372813,0.0212588,0.168601
0.372965,0.0212867,0.168681
0.372965,0.0213,0.168722
0.372965,0.0213131,0.168755
0.373193,0.0213169,0.169269
0.373193,0.0213251,0.169314
0.374209,0.0213271,0.169515
0.374209,0.0213467,0.169764
0.374209,0.0213519,0.169779
0.374267,0.021374,0.169833
0.374394,0.0213752,0.169847
0.375267,0.021403,0.169935
0.375364,0.0214154,0.170025
0.375364,0.0214463,0.170144
0.375528,0.0215028,0.170384
0.375696,0.0215544,0.170479
0.37583,0.0215608,0.170807
0.37583,0.021581,0.171187
0.376137,0.021581,0.171496
0.376505,0.0215836,0.17162
0.376505,0.0215954,0.17169
0.377031,0.0215994,0.172012
0.377058,0.0216331,0.172231
0.377058,0.0216458,0.172617
0.377064,0.0216577,0.172776
0.377064,0.0216652,0.172875
0.377268,0.0216726,0.172899
0.377828,0.0216839,0.172927
0.377955,0.0216956,0.173048
0.377955,0.0217167,0.173061
0.377974,0.0217847,0.173236
0.378661,0.021817,0.173301
0.378843,0.0218174,0.173529
0.378843,0.0218241,0.173589
0.378871,0.0218348,0.173658
0.378898,0.0218498,0.173812
0.378898,0.0218504,0.173885
0.378898,0.0218736,0.174052
0.379424,0.021924,0.174282
0.379792,0.0219657,0.174423
0.380099,0.0219677,0.174489
0.380233,0.0219854,0.174506
0.380233,0.0219906,0.174694
0.380233,0.0219919,0.174842
0.380662,0.0220083,0.174884
0.381535,0.0220275,0.175283
0.38172,0.0220329,0.1753
0.381778,0.0220453,0.175426
0.382736,0.0220455,0.175434
0.382736,0.0220583,0.175525
0.382754,0.0220644,0.17564
0.383116,0.0220697,0.17583
0.383308,0.022075,0.175971
0.383922,0.0220821,0.17606
0.384059,0.0220897,0.176251
0.384451,0.0221049,0.176295
0.384539,0.022129,0.176316
0.384539,0.02214,0.17666
0.384551,0.0221465,0.176833
0.384588,0.0221527,0.177241
0.38467,0.022191,0.177814
0.38467,0.0222081,0.177895
0.38467,0.0222083,0.177963
0.384725,0.0222126,0.17802
0.385634,0.0222134,0.178031
0.385634,0.0222518,0.178425
0.385634,0.0222532,0.178555
0.38575,0.0222604,0.17863
0.38575,0.0222604,0.178663
0.38575,0.0222661,0.178692
0.385756,0.0222666,0.178796
0.386206,0.0222696,0.179051
0.387015,0.022275,0.179517
0.387015,0.0223123,0.179665
0.387015,0.0223463,0.179751
0.387237,0.0223591,0.179794
0.387237,0.0223995,0.179876
0.387793,0.02244,0.179982
0.387793,0.0224571,0.18006
0.387793,0.0224774,0.180231
0.387793,0.0225524,0.180273
0.38855,0.0225616,0.180351
0.38855,0.0225739,0.18054
0.38855,0.0225897,0.180616
0.388742,0.0225936,0.180745
0.389335,0.0226269,0.180871
0.38936,0.0226291,0.181438
0.38936,0.0226768,0.18147
0.389633,0.0226779,0.181672
