D,W,A
0.300902,0.0127971,0.106948
0.306115,0.0142526,0.118549
0.306351,0.0143663,0.119306
0.307403,0.0143672,0.124751
0.308119,0.0146158,0.125561
0.314481,0.0147564,0.130675
0.317302,0.014847,0.131023
0.319462,0.0148705,0.132467
0.320086,0.0150023,0.133396
0.320676,0.0151058,0.13354
0.321376,0.0151888,0.134348
0.326685,0.0152947,0.134833
0.328819,0.015368,0.135841
0.329292,0.0155023,0.136148
0.331851,0.0156514,0.137136
0.331943,0.0158787,0.137994
0.332534,0.015882,0.13844
0.332534,0.0158874,0.139213
0.33491,0.0161642,0.13932
0.338178,0.0165166,0.139364
0.340338,0.0166034,0.139743
0.341001,0.0167476,0.1408
0.341808,0.016757,0.140812
0.342915,0.0168046,0.141282
0.343199,0.0168604,0.141572
0.344575,0.0168731,0.14332
0.345249,0.01691,0.143487
0.345249,0.0169913,0.143634
0.346814,0.0171128,0.144534
0.346814,0.0172028,0.144571
0.34695,0.0172304,0.144973
0.347753,0.0173281,0.145625
0.348961,0.0173301,0.146149
0.349025,0.0173714,0.146567
0.349956,0.0174129,0.146853
0.350105,0.0174313,0.146952
0.350708,0.0174881,0.146957
0.35086,0.0175179,0.147169
0.352339,0.0175727,0.147423
0.352756,0.0176565,0.147881
0.352917,0.0177636,0.148266
0.354615,0.0178093,0.148842
0.354615,0.0178656,0.149186
0.354656,0.0180101,0.149289
0.355046,0.0180215,0.149481
0.355644,0.0180279,0.149964
0.356121,0.0182142,0.150166
0.356414,0.0182216,0.1512
0.357112,0.0182334,0.151324
0.357791,0.0182338,0.151371
0.357791,0.0182863,0.152626
0.357791,0.0182864,0.152635
0.358465,0.0184466,0.152807
0.358938,0.0184479,0.152932
0.359502,0.0184823,0.153337
0.359502,0.0185575,0.153361
0.359554,0.0185656,0.153837
0.359795,0.0185943,0.154217
0.360375,0.0186016,0.154815
0.360502,0.0188332,0.155234
0.360524,0.018853,0.155579
0.360549,0.018894,0.155994
0.360549,0.0189034,0.156253
0.360841,0.0189625,0.156272
0.360841,0.0190952,0.15734
0.363138,0.0192107,0.157942
0.363968,0.0192605,0.158077
0.363968,0.0193068,0.1582
0.36405,0.0193117,0.158304
0.36422,0.0194164,0.158426
0.364642,0.0194239,0.15877
0.365929,0.0194465,0.158951
0.365929,0.0194703,0.159312
0.365929,0.019494,0.159427
0.366458,0.0195072,0.159504
0.367592,0.0195157,0.16017
0.367592,0.0195256,0.160463
0.367819,0.019528,0.160676
0.368573,0.0195344,0.161113
0.368875,0.0195619,0.161217
0.369319,0.0195638,0.161267
0.370966,0.0196022,0.161346
0.371019,0.0196066,0.161851
0.371055,0.0196123,0.162788
0.371055,0.0196201,0.162911
0.371899,0.0196281,0.162923
0.371999,0.0196445,0.162931
0.3727,0.0196485,0.163294
0.37286,0.019649,0.163348
0.373244,0.0196879,0.163352
0.373568,0.0196973,0.16352
0.374188,0.0197362,0.164188
0.374487,0.0197468,0.164687
0.374545,0.0197705,0.165208
0.374559,0.0197743,0.165758
0.37475,0.0197964,0.165954
0.37475,0.019939,0.166245
0.37475,0.0199609,0.166329
0.374838,0.0199664,0.166554
0.375199,0.0200055,0.166623
0.375451,0.0200221,0.166643
0.375551,0.0200252,0.166738
0.375967,0.0200298,0.166779
0.376183,0.0200518,0.167089
0.376183,0.0201086,0.167168
0.376319,0.0201136,0.16729
0.376522,0.0201563,0.167409
0.377167,0.0202127,0.167495
0.377533,0.0202288,0.167713
0.378015,0.0202506,0.167755
0.378015,0.0202682,0.167848
0.378015,0.0202785,0.168071
0.378129,0.0202806,0.168149
0.378747,0.0203106,0.169082
0.378943,0.0203711,0.169089
0.378943,0.0204079,0.169314
0.378943,0.0204173,0.169727
0.379149,0.0204505,0.169821
0.379149,0.0204693,0.170107
0.379149,0.0204716,0.170285
0.379149,0.0205675,0.170434
0.379294,0.0205697,0.170504
0.379365,0.0205859,0.170965
0.379365,0.020645,0.171058
0.379457,0.0206559,0.171062
0.379457,0.0206702,0.171148
0.379586,0.0206761,0.171178
0.379586,0.0207342,0.171382
0.379586,0.0207658,0.171508
0.380231,0.020766,0.171793
0.380231,0.02079,0.171844
0.380666,0.0208304,0.172132
0.381164,0.0208438,0.172242
0.381487,0.0208577,0.172602
0.381742,0.0208594,0.172689
0.381742,0.0209436,0.172909
0.381829,0.0209706,0.17313
0.382617,0.0209726,0.173156
0.383217,0.0209771,0.173526
0.383264,0.0210141,0.173568
0.38344,0.0210244,0.17357
0.38344,0.0210443,0.173744
0.383578,0.0210844,0.173823
0.384047,0.0210982,0.174308
0.384522,0.0211098,0.174615
0.384993,0.0211115,0.174675
0.385007,0.0211247,0.174846
0.385364,0.0211513,0.175118
0.385364,0.0211703,0.175247
0.385364,0.0212212,0.175638
0.385928,0.0212398,0.175804
0.385942,0.0212633,0.175832
0.385942,0.0212789,0.175841
0.385973,0.0213443,0.175894
0.385973,0.0213887,0.17642
0.386049,0.0214157,0.176815
0.386169,0.0214315,0.176972
0.386763,0.021456,0.177016
0.386774,0.0214693,0.177163
0.386774,0.0214856,0.177302
0.38689,0.0214908,0.177572
0.38689,0.0215328,0.177673
0.38689,0.0215349,0.177861
0.387305,0.0215375,0.177922
0.387426,0.0215533,0.177949
