2.01065	0.00126639	-253.22	1.29923
1.98224	0.00143057	-226.012	1.45565
1.85004	0.00119064	-210.829	1.29699
1.92878	0.00123466	-249.477	1.31844
1.9002	0.00105073	-268.208	1.13564
1.91264	0.00110753	-194.654	1.15812
1.8659	0.00119939	-236.351	1.31147
1.89637	0.00116523	-230.706	1.2467
1.92636	0.00132406	-265.935	1.41959
1.89443	0.00124934	-236.274	1.33796
1.85725	0.00144855	-215.25	1.55852
1.88921	0.00158791	-253.863	1.72524
1.90845	0.0018905	-271.236	2.06124
1.84786	0.00182407	-258.516	2.0412
1.8711	0.00186628	-220.291	2.00896
2.00372	0.0020745	-224.328	2.10216
1.84701	0.000792214	-191.141	0.844576
1.81343	0.000769661	-217.086	0.851558
1.81438	0.000764625	-240.539	0.852666
1	0.0293955	1649.91	8.62494
1.8695	0.00077082	-244.12	0.839824
1.82848	0.000727143	-191.386	0.787724
1.81959	0.000750584	-247.463	0.840632
1.85156	0.000837742	-247.362	0.925992
1.80445	0.000756076	-269.387	0.862517
1.82606	0.000748593	-207.718	0.820066
1.82381	0.000791912	-233.255	0.877486
1.8938	0.00082351	-208.305	0.871137
1.88348	0.000845205	-242.073	0.90882
1.82299	0.000925136	-237.366	1.02363
1.76325	0.000968876	-206.273	1.0941
1.80767	0.00149564	-237.685	1.68204
